attack_type,security_tools_used,industry
Brute Force,WAF,Healthcare
SQL Injection,IDS,Education
DDoS,WAF,Technology
Malware,IDS,Government
SQL Injection,WAF,Technology
Brute Force,MFA,Energy
Phishing,WAF,Government
Phishing,WAF,Government
DDoS,Antivirus,Energy
Ransomware,IDS,Government
SQL Injection,WAF,Retail
DDoS,Firewall,Energy
DDoS,Endpoint Detection,Retail
Cross-Site Scripting,MFA,Healthcare
SQL Injection,Antivirus,Technology
Cross-Site Scripting,WAF,Education
Cross-Site Scripting,Antivirus,Education
DDoS,IDS,Energy
Zero-Day Exploit,Endpoint Detection,Healthcare
SQL Injection,Endpoint Detection,Retail
Cross-Site Scripting,Endpoint Detection,Manufacturing
SQL Injection,IDS,Manufacturing
Brute Force,Antivirus,Energy
Zero-Day Exploit,Firewall,Finance
Zero-Day Exploit,Antivirus,Education
Cross-Site Scripting,IDS,Government
SQL Injection,IDS,Government
Malware,IDS,Finance
Phishing,SIEM,Technology
Brute Force,Endpoint Detection,Technology
Brute Force,SIEM,Education
Ransomware,Antivirus,Energy
Malware,Antivirus,Government
Brute Force,Endpoint Detection,Education
SQL Injection,WAF,Manufacturing
Cross-Site Scripting,VPN,Energy
Cross-Site Scripting,Endpoint Detection,Technology
Cross-Site Scripting,VPN,Technology
Brute Force,MFA,Education
SQL Injection,Firewall,Government
SQL Injection,Antivirus,Manufacturing
SQL Injection,VPN,Energy
Cross-Site Scripting,VPN,Energy
Ransomware,MFA,Energy
SQL Injection,MFA,Energy
Cross-Site Scripting,VPN,Education
Ransomware,VPN,Energy
SQL Injection,SIEM,Government
Ransomware,MFA,Retail
SQL Injection,Antivirus,Government
Zero-Day Exploit,WAF,Technology
Cross-Site Scripting,Antivirus,Finance
SQL Injection,Antivirus,Energy
Malware,WAF,Education
Phishing,Antivirus,Retail
SQL Injection,Endpoint Detection,Manufacturing
Malware,Firewall,Technology
Brute Force,IDS,Manufacturing
DDoS,WAF,Education
Zero-Day Exploit,SIEM,Energy
Malware,Endpoint Detection,Education
DDoS,IDS,Energy
Brute Force,WAF,Retail
Phishing,VPN,Education
Ransomware,WAF,Energy
Phishing,Antivirus,Education
SQL Injection,WAF,Healthcare
Malware,WAF,Finance
Phishing,Firewall,Finance
Brute Force,SIEM,Retail
DDoS,VPN,Government
Brute Force,Antivirus,Retail
Ransomware,SIEM,Education
SQL Injection,WAF,Technology
Brute Force,IDS,Retail
DDoS,MFA,Healthcare
Ransomware,IDS,Healthcare
Cross-Site Scripting,Antivirus,Government
Ransomware,VPN,Technology
DDoS,IDS,Retail
Phishing,Antivirus,Finance
Brute Force,IDS,Finance
Malware,Endpoint Detection,Healthcare
SQL Injection,WAF,Healthcare
Brute Force,MFA,Education
SQL Injection,VPN,Government
Ransomware,Antivirus,Energy
Phishing,SIEM,Energy
Ransomware,VPN,Healthcare
SQL Injection,Firewall,Healthcare
Zero-Day Exploit,Antivirus,Technology
Cross-Site Scripting,Firewall,Retail
Phishing,Endpoint Detection,Energy
Cross-Site Scripting,IDS,Technology
DDoS,VPN,Retail
SQL Injection,Firewall,Healthcare
Malware,VPN,Technology
SQL Injection,SIEM,Manufacturing
Zero-Day Exploit,Antivirus,Retail
Ransomware,Endpoint Detection,Retail
Brute Force,Firewall,Finance
Brute Force,MFA,Manufacturing
Brute Force,Antivirus,Technology
Phishing,Firewall,Education
Phishing,SIEM,Technology
DDoS,Firewall,Healthcare
Phishing,IDS,Healthcare
DDoS,Antivirus,Manufacturing
Malware,Endpoint Detection,Energy
Ransomware,VPN,Government
Malware,VPN,Energy
Malware,SIEM,Finance
Zero-Day Exploit,MFA,Government
Ransomware,WAF,Manufacturing
Phishing,SIEM,Education
Malware,MFA,Manufacturing
DDoS,VPN,Healthcare
Zero-Day Exploit,IDS,Energy
Cross-Site Scripting,Firewall,Energy
SQL Injection,MFA,Government
Ransomware,IDS,Retail
Brute Force,MFA,Manufacturing
Zero-Day Exploit,VPN,Healthcare
Brute Force,Firewall,Manufacturing
Brute Force,IDS,Education
Brute Force,Antivirus,Education
Brute Force,MFA,Government
Brute Force,IDS,Manufacturing
Brute Force,VPN,Government
DDoS,VPN,Government
Ransomware,IDS,Education
Cross-Site Scripting,SIEM,Healthcare
Zero-Day Exploit,IDS,Technology
Cross-Site Scripting,Endpoint Detection,Government
Phishing,Antivirus,Energy
SQL Injection,Endpoint Detection,Finance
Phishing,MFA,Energy
Phishing,Endpoint Detection,Retail
Ransomware,MFA,Healthcare
Ransomware,Antivirus,Healthcare
Brute Force,VPN,Manufacturing
Ransomware,VPN,Education
Malware,IDS,Education
Brute Force,Endpoint Detection,Technology
SQL Injection,MFA,Technology
Phishing,IDS,Manufacturing
SQL Injection,Antivirus,Technology
Malware,VPN,Technology
Malware,MFA,Technology
DDoS,Antivirus,Education
DDoS,WAF,Retail
Ransomware,IDS,Healthcare
Zero-Day Exploit,Antivirus,Manufacturing
Brute Force,IDS,Finance
Cross-Site Scripting,MFA,Education
DDoS,Endpoint Detection,Retail
Zero-Day Exploit,SIEM,Healthcare
Malware,Firewall,Government
Zero-Day Exploit,VPN,Energy
SQL Injection,VPN,Retail
SQL Injection,MFA,Finance
DDoS,WAF,Finance
Cross-Site Scripting,MFA,Education
Phishing,IDS,Education
Phishing,IDS,Technology
Zero-Day Exploit,IDS,Healthcare
Malware,IDS,Education
Zero-Day Exploit,VPN,Finance
Brute Force,MFA,Manufacturing
SQL Injection,WAF,Finance
Brute Force,IDS,Retail
Ransomware,Antivirus,Government
Phishing,Antivirus,Technology
Zero-Day Exploit,IDS,Government
Ransomware,VPN,Government
Brute Force,VPN,Energy
Ransomware,VPN,Government
Cross-Site Scripting,SIEM,Education
SQL Injection,IDS,Finance
Zero-Day Exploit,Firewall,Finance
Zero-Day Exploit,Firewall,Manufacturing
Zero-Day Exploit,Endpoint Detection,Technology
Phishing,Firewall,Healthcare
Phishing,Antivirus,Healthcare
Brute Force,Firewall,Education
Phishing,SIEM,Manufacturing
SQL Injection,Antivirus,Finance
SQL Injection,Endpoint Detection,Government
Ransomware,IDS,Government
Brute Force,SIEM,Manufacturing
Ransomware,WAF,Healthcare
Malware,Antivirus,Retail
DDoS,WAF,Retail
Malware,Firewall,Energy
Ransomware,IDS,Government
SQL Injection,VPN,Education
Brute Force,WAF,Finance
Malware,Firewall,Education
Brute Force,SIEM,Energy
Cross-Site Scripting,Firewall,Technology
DDoS,Firewall,Energy
Ransomware,Antivirus,Technology
DDoS,Endpoint Detection,Retail
DDoS,VPN,Education
Cross-Site Scripting,SIEM,Government
SQL Injection,Endpoint Detection,Healthcare
Cross-Site Scripting,IDS,Healthcare
DDoS,IDS,Retail
Cross-Site Scripting,SIEM,Healthcare
Brute Force,MFA,Manufacturing
Zero-Day Exploit,IDS,Retail
Malware,WAF,Technology
Malware,IDS,Manufacturing
DDoS,SIEM,Retail
Ransomware,Firewall,Healthcare
Malware,VPN,Technology
Phishing,IDS,Healthcare
Malware,Firewall,Finance
Cross-Site Scripting,Firewall,Manufacturing
Ransomware,Firewall,Energy
Ransomware,Endpoint Detection,Retail
Zero-Day Exploit,IDS,Education
SQL Injection,Firewall,Manufacturing
Phishing,SIEM,Retail
Brute Force,IDS,Healthcare
Zero-Day Exploit,Firewall,Manufacturing
Phishing,SIEM,Retail
Ransomware,MFA,Retail
Brute Force,Endpoint Detection,Retail
Cross-Site Scripting,Endpoint Detection,Healthcare
Phishing,Antivirus,Finance
Brute Force,IDS,Technology
SQL Injection,WAF,Finance
Zero-Day Exploit,IDS,Retail
Cross-Site Scripting,SIEM,Finance
Ransomware,Firewall,Healthcare
DDoS,WAF,Government
Phishing,IDS,Retail
Cross-Site Scripting,Firewall,Finance
DDoS,Antivirus,Manufacturing
Ransomware,VPN,Manufacturing
Zero-Day Exploit,Antivirus,Healthcare
Ransomware,Firewall,Government
Brute Force,WAF,Technology
DDoS,MFA,Technology
Malware,MFA,Manufacturing
Phishing,SIEM,Retail
Cross-Site Scripting,IDS,Energy
Brute Force,VPN,Retail
SQL Injection,MFA,Education
SQL Injection,MFA,Technology
Malware,Endpoint Detection,Government
Ransomware,Antivirus,Education
Cross-Site Scripting,SIEM,Manufacturing
SQL Injection,Firewall,Retail
Malware,Antivirus,Education
Ransomware,SIEM,Finance
DDoS,Antivirus,Retail
DDoS,IDS,Education
Brute Force,IDS,Technology
Cross-Site Scripting,Endpoint Detection,Energy
Zero-Day Exploit,WAF,Government
Brute Force,IDS,Retail
Zero-Day Exploit,Firewall,Finance
Phishing,SIEM,Finance
Brute Force,IDS,Finance
Zero-Day Exploit,VPN,Technology
Phishing,Endpoint Detection,Education
SQL Injection,MFA,Technology
Phishing,Firewall,Retail
Brute Force,WAF,Retail
Brute Force,IDS,Healthcare
Malware,SIEM,Finance
DDoS,IDS,Healthcare
Brute Force,Firewall,Finance
Ransomware,IDS,Finance
Malware,WAF,Retail
Cross-Site Scripting,SIEM,Retail
Brute Force,MFA,Manufacturing
Phishing,WAF,Retail
SQL Injection,Antivirus,Manufacturing
Phishing,WAF,Healthcare
Zero-Day Exploit,MFA,Manufacturing
DDoS,IDS,Government
Zero-Day Exploit,MFA,Healthcare
Zero-Day Exploit,IDS,Technology
Malware,SIEM,Healthcare
Zero-Day Exploit,IDS,Technology
Phishing,MFA,Education
Ransomware,IDS,Retail
Phishing,VPN,Government
Malware,VPN,Education
Phishing,Firewall,Government
Phishing,Antivirus,Technology
SQL Injection,Antivirus,Technology
Ransomware,SIEM,Education
Cross-Site Scripting,Endpoint Detection,Healthcare
DDoS,IDS,Healthcare
DDoS,IDS,Government
Malware,MFA,Government
Phishing,MFA,Education
Ransomware,SIEM,Technology
SQL Injection,IDS,Retail
Phishing,Endpoint Detection,Technology
DDoS,MFA,Retail
Zero-Day Exploit,Antivirus,Education
Zero-Day Exploit,Antivirus,Finance
Cross-Site Scripting,IDS,Finance
SQL Injection,SIEM,Finance
Zero-Day Exploit,WAF,Manufacturing
Zero-Day Exploit,SIEM,Healthcare
Zero-Day Exploit,SIEM,Education
DDoS,WAF,Healthcare
SQL Injection,SIEM,Energy
Brute Force,SIEM,Finance
DDoS,Antivirus,Energy
SQL Injection,IDS,Healthcare
Phishing,SIEM,Manufacturing
DDoS,Antivirus,Government
Phishing,Endpoint Detection,Education
SQL Injection,Firewall,Education
DDoS,Firewall,Finance
DDoS,Endpoint Detection,Manufacturing
DDoS,VPN,Finance
Malware,WAF,Government
SQL Injection,MFA,Retail
Ransomware,Firewall,Government
Brute Force,Firewall,Government
Zero-Day Exploit,WAF,Energy
Malware,Firewall,Retail
Cross-Site Scripting,IDS,Energy
Ransomware,Firewall,Technology
SQL Injection,Endpoint Detection,Manufacturing
DDoS,Endpoint Detection,Technology
Zero-Day Exploit,MFA,Energy
Ransomware,Endpoint Detection,Government
Brute Force,VPN,Finance
Ransomware,Endpoint Detection,Healthcare
Brute Force,IDS,Education
Phishing,WAF,Manufacturing
DDoS,WAF,Finance
Ransomware,WAF,Manufacturing
Cross-Site Scripting,Antivirus,Retail
Brute Force,Antivirus,Retail
SQL Injection,MFA,Education
Ransomware,VPN,Education
Ransomware,MFA,Education
Cross-Site Scripting,SIEM,Healthcare
DDoS,VPN,Manufacturing
Cross-Site Scripting,Antivirus,Education
Zero-Day Exploit,MFA,Manufacturing
Phishing,Antivirus,Healthcare
Ransomware,VPN,Manufacturing
Cross-Site Scripting,WAF,Government
Brute Force,Endpoint Detection,Manufacturing
Cross-Site Scripting,SIEM,Healthcare
DDoS,Antivirus,Government
Zero-Day Exploit,VPN,Finance
Malware,Antivirus,Healthcare
Brute Force,VPN,Education
Ransomware,SIEM,Manufacturing
DDoS,SIEM,Education
Brute Force,SIEM,Finance
Ransomware,MFA,Finance
Zero-Day Exploit,SIEM,Finance
Cross-Site Scripting,IDS,Retail
SQL Injection,Antivirus,Retail
Ransomware,VPN,Education
Zero-Day Exploit,VPN,Healthcare
Phishing,Firewall,Energy
Ransomware,SIEM,Energy
Brute Force,IDS,Retail
Zero-Day Exploit,Firewall,Technology
Malware,MFA,Government
Zero-Day Exploit,SIEM,Healthcare
Zero-Day Exploit,VPN,Finance
Phishing,Antivirus,Technology
Ransomware,Endpoint Detection,Retail
Malware,Endpoint Detection,Healthcare
SQL Injection,IDS,Manufacturing
Brute Force,SIEM,Retail
Zero-Day Exploit,IDS,Finance
Phishing,Firewall,Healthcare
Brute Force,SIEM,Energy
Phishing,IDS,Finance
Malware,MFA,Education
DDoS,SIEM,Government
Phishing,WAF,Retail
SQL Injection,SIEM,Technology
Cross-Site Scripting,IDS,Education
Brute Force,Firewall,Retail
Phishing,Endpoint Detection,Manufacturing
Ransomware,VPN,Healthcare
DDoS,Endpoint Detection,Energy
Ransomware,Antivirus,Retail
Cross-Site Scripting,Endpoint Detection,Healthcare
Cross-Site Scripting,WAF,Finance
Cross-Site Scripting,Endpoint Detection,Finance
Cross-Site Scripting,Firewall,Manufacturing
DDoS,Antivirus,Healthcare
Zero-Day Exploit,SIEM,Healthcare
DDoS,Endpoint Detection,Education
Cross-Site Scripting,Firewall,Education
Ransomware,Endpoint Detection,Technology
Malware,WAF,Manufacturing
Cross-Site Scripting,Endpoint Detection,Retail
Cross-Site Scripting,VPN,Energy
DDoS,Endpoint Detection,Energy
DDoS,Endpoint Detection,Energy
Ransomware,Endpoint Detection,Energy
Brute Force,SIEM,Education
Cross-Site Scripting,MFA,Retail
Phishing,IDS,Healthcare
DDoS,Firewall,Government
DDoS,IDS,Education
Zero-Day Exploit,SIEM,Retail
Phishing,Antivirus,Education
Malware,Endpoint Detection,Energy
Malware,MFA,Finance
Malware,Firewall,Government
Zero-Day Exploit,MFA,Education
Cross-Site Scripting,Antivirus,Retail
Malware,Antivirus,Technology
Malware,VPN,Manufacturing
Zero-Day Exploit,Endpoint Detection,Technology
Zero-Day Exploit,VPN,Healthcare
Zero-Day Exploit,Antivirus,Government
Ransomware,Firewall,Education
Malware,WAF,Technology
Cross-Site Scripting,Endpoint Detection,Technology
Malware,SIEM,Manufacturing
SQL Injection,Endpoint Detection,Education
Phishing,Endpoint Detection,Government
Phishing,Endpoint Detection,Manufacturing
Malware,IDS,Manufacturing
Ransomware,VPN,Government
SQL Injection,Endpoint Detection,Technology
Brute Force,VPN,Technology
Phishing,VPN,Retail
SQL Injection,Antivirus,Finance
DDoS,VPN,Finance
Zero-Day Exploit,Endpoint Detection,Technology
Zero-Day Exploit,IDS,Manufacturing
Phishing,Firewall,Education
Ransomware,Antivirus,Manufacturing
DDoS,Antivirus,Technology
Malware,Endpoint Detection,Healthcare
DDoS,Firewall,Government
Phishing,SIEM,Energy
Zero-Day Exploit,Endpoint Detection,Education
Cross-Site Scripting,Antivirus,Retail
Ransomware,Endpoint Detection,Healthcare
SQL Injection,WAF,Technology
Zero-Day Exploit,IDS,Technology
Malware,MFA,Retail
Phishing,Antivirus,Manufacturing
Brute Force,SIEM,Healthcare
Ransomware,Endpoint Detection,Education
Cross-Site Scripting,IDS,Government
Ransomware,Antivirus,Retail
Cross-Site Scripting,WAF,Healthcare
Phishing,VPN,Energy
Malware,Antivirus,Energy
Phishing,WAF,Retail
DDoS,SIEM,Education
Zero-Day Exploit,SIEM,Finance
Phishing,Firewall,Healthcare
Phishing,SIEM,Finance
DDoS,Firewall,Government
Phishing,SIEM,Government
Brute Force,SIEM,Technology
Ransomware,MFA,Energy
SQL Injection,Antivirus,Retail
DDoS,Firewall,Government
Brute Force,Endpoint Detection,Finance
Zero-Day Exploit,IDS,Finance
Malware,SIEM,Technology
Zero-Day Exploit,SIEM,Technology
Cross-Site Scripting,Firewall,Energy
Malware,Firewall,Technology
Brute Force,Firewall,Manufacturing
DDoS,VPN,Manufacturing
Ransomware,Firewall,Technology
Malware,VPN,Healthcare
Ransomware,MFA,Manufacturing
Zero-Day Exploit,Endpoint Detection,Manufacturing
Brute Force,Firewall,Education
Brute Force,SIEM,Healthcare
DDoS,VPN,Healthcare
Brute Force,IDS,Manufacturing
Zero-Day Exploit,Firewall,Technology
Brute Force,VPN,Finance
Cross-Site Scripting,SIEM,Healthcare
SQL Injection,IDS,Technology
Zero-Day Exploit,Endpoint Detection,Healthcare
DDoS,VPN,Education
Zero-Day Exploit,IDS,Retail
Brute Force,WAF,Finance
Malware,IDS,Retail
Zero-Day Exploit,Antivirus,Finance
SQL Injection,SIEM,Energy
Cross-Site Scripting,Firewall,Government
Ransomware,Antivirus,Healthcare
Zero-Day Exploit,Antivirus,Government
SQL Injection,WAF,Government
DDoS,VPN,Manufacturing
Cross-Site Scripting,Endpoint Detection,Finance
Cross-Site Scripting,IDS,Technology
Malware,VPN,Education
Malware,VPN,Finance
Ransomware,Antivirus,Education
Brute Force,WAF,Manufacturing
Ransomware,VPN,Technology
DDoS,VPN,Energy
Malware,Endpoint Detection,Technology
Brute Force,Endpoint Detection,Energy
Phishing,Endpoint Detection,Healthcare
Zero-Day Exploit,Endpoint Detection,Technology
Ransomware,Firewall,Retail
DDoS,Antivirus,Finance
Phishing,Antivirus,Retail
Cross-Site Scripting,Endpoint Detection,Technology
Cross-Site Scripting,Firewall,Energy
Cross-Site Scripting,WAF,Healthcare
DDoS,Firewall,Education
SQL Injection,WAF,Energy
Malware,Endpoint Detection,Technology
Cross-Site Scripting,IDS,Healthcare
SQL Injection,WAF,Retail
DDoS,Endpoint Detection,Retail
Ransomware,IDS,Government
DDoS,VPN,Energy
Ransomware,IDS,Finance
SQL Injection,Antivirus,Finance
Phishing,Antivirus,Technology
DDoS,Antivirus,Healthcare
Malware,Antivirus,Finance
SQL Injection,MFA,Energy
DDoS,Firewall,Manufacturing
Malware,Endpoint Detection,Retail
Zero-Day Exploit,Firewall,Energy
Cross-Site Scripting,SIEM,Technology
Ransomware,WAF,Healthcare
Zero-Day Exploit,Endpoint Detection,Manufacturing
Cross-Site Scripting,WAF,Education
Zero-Day Exploit,VPN,Government
Zero-Day Exploit,VPN,Finance
Cross-Site Scripting,SIEM,Manufacturing
SQL Injection,SIEM,Education
Cross-Site Scripting,SIEM,Retail
Brute Force,Firewall,Healthcare
Cross-Site Scripting,Endpoint Detection,Healthcare
Cross-Site Scripting,Antivirus,Technology
Ransomware,Firewall,Government
DDoS,Endpoint Detection,Healthcare
Cross-Site Scripting,Antivirus,Government
Malware,WAF,Manufacturing
Brute Force,IDS,Government
Phishing,Firewall,Retail
Brute Force,Endpoint Detection,Energy
DDoS,MFA,Government
Zero-Day Exploit,IDS,Retail
SQL Injection,Endpoint Detection,Healthcare
Phishing,SIEM,Retail
Cross-Site Scripting,MFA,Healthcare
Cross-Site Scripting,Antivirus,Retail
DDoS,Endpoint Detection,Technology
DDoS,Endpoint Detection,Government
Phishing,IDS,Finance
Cross-Site Scripting,Antivirus,Technology
SQL Injection,Firewall,Retail
Ransomware,Antivirus,Technology
Ransomware,SIEM,Healthcare
Brute Force,Antivirus,Retail
Malware,Firewall,Education
Ransomware,Firewall,Technology
SQL Injection,MFA,Manufacturing
Malware,Antivirus,Technology
Malware,Endpoint Detection,Finance
DDoS,SIEM,Healthcare
Phishing,WAF,Manufacturing
Cross-Site Scripting,Firewall,Manufacturing
SQL Injection,IDS,Education
Malware,SIEM,Energy
Phishing,Endpoint Detection,Manufacturing
Ransomware,Endpoint Detection,Manufacturing
SQL Injection,MFA,Government
Malware,WAF,Retail
SQL Injection,VPN,Healthcare
DDoS,VPN,Retail
Brute Force,SIEM,Manufacturing
Cross-Site Scripting,Endpoint Detection,Manufacturing
DDoS,Antivirus,Education
DDoS,IDS,Manufacturing
Ransomware,IDS,Government
Ransomware,WAF,Education
Cross-Site Scripting,WAF,Government
Phishing,IDS,Technology
Ransomware,VPN,Manufacturing
Zero-Day Exploit,SIEM,Energy
Ransomware,Antivirus,Technology
Ransomware,Endpoint Detection,Technology
Phishing,WAF,Education
Ransomware,Endpoint Detection,Retail
SQL Injection,Antivirus,Retail
Malware,Firewall,Technology
SQL Injection,SIEM,Finance
DDoS,IDS,Government
SQL Injection,VPN,Energy
DDoS,IDS,Education
Ransomware,SIEM,Retail
DDoS,SIEM,Technology
Cross-Site Scripting,Endpoint Detection,Healthcare
Phishing,Endpoint Detection,Technology
Phishing,IDS,Technology
Brute Force,WAF,Manufacturing
SQL Injection,WAF,Energy
Ransomware,IDS,Retail
DDoS,IDS,Education
DDoS,IDS,Healthcare
Cross-Site Scripting,Endpoint Detection,Government
Malware,Firewall,Energy
Zero-Day Exploit,IDS,Education
Brute Force,WAF,Technology
Brute Force,Antivirus,Technology
Phishing,MFA,Retail
Ransomware,MFA,Technology
SQL Injection,SIEM,Government
DDoS,WAF,Manufacturing
Ransomware,Endpoint Detection,Technology
Zero-Day Exploit,VPN,Energy
Ransomware,VPN,Retail
SQL Injection,MFA,Energy
Cross-Site Scripting,WAF,Education
Ransomware,Firewall,Healthcare
Malware,VPN,Retail
SQL Injection,Endpoint Detection,Government
Cross-Site Scripting,Firewall,Education
Brute Force,VPN,Finance
Brute Force,Antivirus,Healthcare
Malware,Firewall,Education
Ransomware,Endpoint Detection,Technology
Malware,Endpoint Detection,Technology
SQL Injection,IDS,Education
Phishing,MFA,Finance
Brute Force,MFA,Technology
DDoS,WAF,Energy
SQL Injection,SIEM,Retail
Zero-Day Exploit,Antivirus,Technology
DDoS,SIEM,Healthcare
DDoS,WAF,Government
Brute Force,WAF,Manufacturing
Ransomware,SIEM,Manufacturing
Phishing,Firewall,Manufacturing
Phishing,Antivirus,Finance
Ransomware,MFA,Government
Phishing,Firewall,Technology
Phishing,MFA,Government
Ransomware,Firewall,Manufacturing
Ransomware,Firewall,Retail
Brute Force,Firewall,Technology
Malware,MFA,Finance
DDoS,VPN,Healthcare
Ransomware,MFA,Finance
Zero-Day Exploit,Antivirus,Finance
Brute Force,Endpoint Detection,Technology
SQL Injection,Firewall,Retail
Ransomware,Antivirus,Education
Brute Force,WAF,Manufacturing
SQL Injection,Endpoint Detection,Government
Malware,Endpoint Detection,Government
DDoS,Endpoint Detection,Energy
SQL Injection,Firewall,Energy
Phishing,IDS,Manufacturing
Zero-Day Exploit,SIEM,Government
Cross-Site Scripting,IDS,Healthcare
Ransomware,WAF,Retail
Malware,Firewall,Retail
SQL Injection,WAF,Finance
Brute Force,SIEM,Finance
Zero-Day Exploit,WAF,Finance
Brute Force,WAF,Government
SQL Injection,Firewall,Healthcare
Phishing,MFA,Manufacturing
SQL Injection,Antivirus,Manufacturing
DDoS,MFA,Energy
Cross-Site Scripting,WAF,Technology
Malware,Firewall,Education
Malware,IDS,Manufacturing
Zero-Day Exploit,Antivirus,Energy
SQL Injection,Firewall,Retail
Phishing,Endpoint Detection,Government
SQL Injection,SIEM,Healthcare
Brute Force,VPN,Government
Zero-Day Exploit,VPN,Education
SQL Injection,MFA,Finance
Malware,IDS,Healthcare
Cross-Site Scripting,Antivirus,Healthcare
DDoS,Endpoint Detection,Retail
DDoS,SIEM,Education
DDoS,Antivirus,Energy
Malware,Endpoint Detection,Manufacturing
Cross-Site Scripting,IDS,Retail
DDoS,Endpoint Detection,Education
Cross-Site Scripting,Antivirus,Government
DDoS,IDS,Manufacturing
DDoS,SIEM,Education
DDoS,WAF,Technology
Malware,WAF,Manufacturing
Zero-Day Exploit,Endpoint Detection,Technology
Zero-Day Exploit,SIEM,Finance
Malware,IDS,Finance
Phishing,Firewall,Energy
Phishing,Endpoint Detection,Healthcare
Brute Force,SIEM,Government
Ransomware,WAF,Retail
Ransomware,VPN,Finance
Brute Force,Firewall,Finance
SQL Injection,IDS,Energy
Zero-Day Exploit,VPN,Healthcare
Zero-Day Exploit,Antivirus,Manufacturing
Malware,MFA,Government
SQL Injection,Endpoint Detection,Healthcare
Brute Force,Endpoint Detection,Education
Brute Force,Antivirus,Manufacturing
DDoS,Endpoint Detection,Retail
Malware,Firewall,Manufacturing
Zero-Day Exploit,IDS,Education
Phishing,MFA,Technology
Malware,MFA,Manufacturing
Ransomware,MFA,Energy
Malware,IDS,Manufacturing
SQL Injection,Endpoint Detection,Retail
Malware,Firewall,Government
Zero-Day Exploit,VPN,Manufacturing
Ransomware,IDS,Technology
Malware,Endpoint Detection,Education
Malware,VPN,Manufacturing
Malware,VPN,Retail
SQL Injection,MFA,Education
Malware,VPN,Retail
Phishing,IDS,Retail
Malware,Antivirus,Technology
Zero-Day Exploit,WAF,Education
SQL Injection,VPN,Technology
Ransomware,IDS,Technology
Ransomware,Firewall,Education
Malware,VPN,Education
Brute Force,MFA,Finance
Brute Force,Firewall,Technology
Ransomware,SIEM,Finance
Phishing,Antivirus,Retail
Zero-Day Exploit,Endpoint Detection,Retail
Ransomware,VPN,Healthcare
Malware,Antivirus,Technology
Zero-Day Exploit,MFA,Retail
Phishing,SIEM,Energy
Ransomware,Endpoint Detection,Technology
Phishing,VPN,Manufacturing
Ransomware,SIEM,Retail
Ransomware,Antivirus,Retail
Malware,Antivirus,Technology
Cross-Site Scripting,MFA,Education
Ransomware,Firewall,Finance
Malware,VPN,Energy
SQL Injection,MFA,Finance
Malware,VPN,Energy
Phishing,SIEM,Manufacturing
Ransomware,Antivirus,Finance
Malware,MFA,Healthcare
Brute Force,Antivirus,Manufacturing
Brute Force,Antivirus,Retail
Cross-Site Scripting,MFA,Government
Phishing,SIEM,Finance
Malware,Firewall,Healthcare
SQL Injection,IDS,Energy
Cross-Site Scripting,SIEM,Government
SQL Injection,VPN,Finance
Brute Force,WAF,Government
Phishing,Firewall,Manufacturing
Malware,Antivirus,Finance
Brute Force,Endpoint Detection,Healthcare
Brute Force,Firewall,Government
DDoS,SIEM,Government
Cross-Site Scripting,MFA,Retail
Cross-Site Scripting,Endpoint Detection,Manufacturing
DDoS,WAF,Finance
Ransomware,IDS,Education
SQL Injection,Firewall,Education
DDoS,IDS,Education
SQL Injection,SIEM,Education
Phishing,IDS,Technology
Malware,Antivirus,Retail
SQL Injection,VPN,Technology
Brute Force,SIEM,Healthcare
Ransomware,MFA,Technology
Brute Force,IDS,Finance
Zero-Day Exploit,Firewall,Education
SQL Injection,VPN,Government
Brute Force,IDS,Technology
Phishing,VPN,Healthcare
Ransomware,MFA,Energy
Cross-Site Scripting,MFA,Finance
DDoS,WAF,Technology
Cross-Site Scripting,SIEM,Healthcare
Cross-Site Scripting,MFA,Government
DDoS,VPN,Finance
Cross-Site Scripting,SIEM,Finance
Zero-Day Exploit,VPN,Government
Malware,SIEM,Technology
DDoS,SIEM,Retail
DDoS,SIEM,Technology
Cross-Site Scripting,IDS,Education
DDoS,Firewall,Energy
SQL Injection,MFA,Manufacturing
Ransomware,IDS,Education
DDoS,MFA,Finance
SQL Injection,Firewall,Technology
Ransomware,Antivirus,Energy
Malware,MFA,Finance
Phishing,VPN,Retail
SQL Injection,WAF,Healthcare
Ransomware,Firewall,Finance
Brute Force,IDS,Retail
Phishing,SIEM,Government
Cross-Site Scripting,Firewall,Education
SQL Injection,Firewall,Government
Zero-Day Exploit,SIEM,Technology
Malware,Endpoint Detection,Energy
SQL Injection,Firewall,Finance
Malware,VPN,Energy
DDoS,IDS,Education
Cross-Site Scripting,Firewall,Energy
Ransomware,WAF,Healthcare
Phishing,MFA,Manufacturing
Malware,WAF,Technology
Malware,VPN,Finance
Cross-Site Scripting,SIEM,Healthcare
DDoS,Antivirus,Technology
SQL Injection,IDS,Finance
Cross-Site Scripting,MFA,Retail
Cross-Site Scripting,Antivirus,Retail
Brute Force,Antivirus,Retail
Ransomware,Endpoint Detection,Energy
Ransomware,SIEM,Retail
Cross-Site Scripting,SIEM,Finance
Cross-Site Scripting,Firewall,Finance
Ransomware,IDS,Energy
Cross-Site Scripting,IDS,Energy
Cross-Site Scripting,Endpoint Detection,Energy
DDoS,IDS,Technology
Zero-Day Exploit,SIEM,Manufacturing
Cross-Site Scripting,Endpoint Detection,Retail
